data_name,num_classes,distribution,rho,size,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_accuracy,train_auprc,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_f1_macro,train_f1_weighted,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,val_accuracy,val_auprc,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_f1_weighted,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,test_accuracy,test_auprc,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_f1_weighted,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,0.1,62.95,56.72,7.37,94.82,85.03,74.85,92.49,61.84,94.82,65.06,93.19,97.3,32.82,0.0,0.0,0.0,93.74,67.61,64.93,91.25,61.81,93.74,92.4,96.71,29.2,0.0,0.0,0.0,92.64,61.37,58.04,89.76,56.19,92.64,91.11,96.14,17.3,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,0.2,52.43,49.87,2.63,93.9,82.09,78.99,92.26,54.91,93.9,56.91,91.73,96.83,16.99,0.0,0.0,0.0,93.62,62.37,55.3,89.0,52.52,93.62,91.05,96.69,8.16,0.0,0.0,0.0,93.51,58.33,52.41,88.45,50.78,93.51,90.67,96.64,3.1,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,0.5,52.72,51.12,4.79,94.46,83.57,77.88,92.69,60.1,94.46,62.9,92.74,97.11,28.68,0.0,0.0,0.0,93.51,64.03,54.28,88.91,52.88,93.51,91.03,96.63,8.81,0.0,0.0,0.0,93.05,59.53,51.09,88.39,51.79,93.05,90.61,96.38,5.85,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,1.0,54.43,51.48,5.41,94.36,83.28,79.81,92.76,58.51,94.36,61.2,92.49,97.07,25.33,0.0,0.0,0.0,93.74,67.44,56.33,89.32,54.26,93.74,91.35,96.75,12.12,0.0,0.0,0.0,93.33,60.75,52.49,88.58,51.95,93.33,90.79,96.54,6.41,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,2.0,58.1,54.21,10.14,94.36,82.19,79.38,92.9,60.33,94.36,63.88,92.82,97.06,30.7,0.0,0.0,0.0,93.85,68.12,56.57,89.99,59.78,93.85,91.85,96.79,19.41,0.0,0.0,0.0,92.93,61.35,53.0,89.05,55.51,92.93,90.93,96.3,12.12,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.25,5.0,55.75,53.37,8.68,94.21,79.86,78.65,92.87,60.95,94.21,65.01,92.89,96.97,33.04,0.0,0.0,0.0,93.85,71.56,57.01,89.55,55.58,93.85,91.57,96.8,14.69,0.0,0.0,0.0,93.39,62.25,53.86,88.94,53.66,93.39,91.05,96.56,10.17,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.75,0.1,78.66,69.93,3.22,96.14,89.03,81.38,97.44,96.54,96.14,87.12,96.52,97.9,76.33,0.0,0.0,0.0,93.97,72.38,75.06,95.17,84.18,93.97,94.43,96.73,60.6,0.0,0.0,0.0,91.67,64.45,67.63,93.02,73.72,91.67,92.23,95.49,44.36,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.75,0.2,75.44,68.12,2.02,95.76,85.25,80.38,96.98,93.82,95.76,85.55,96.15,97.7,73.41,0.0,0.0,0.0,92.93,72.94,72.04,94.39,80.69,92.93,93.52,96.17,54.71,0.0,0.0,0.0,90.86,66.28,65.76,92.6,72.03,90.86,91.61,95.04,41.19,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.75,0.5,77.96,69.34,1.28,96.34,86.12,82.08,97.38,95.53,96.34,87.36,96.65,98.01,76.7,0.0,0.0,0.0,93.56,73.51,74.09,95.09,84.39,93.56,94.14,96.5,59.42,0.0,0.0,0.0,90.8,65.65,66.57,93.01,74.52,90.8,91.72,94.99,43.7,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.75,1.0,80.33,71.41,0.31,96.3,88.42,81.83,97.48,96.48,96.3,87.47,96.64,97.99,76.94,0.0,0.0,0.0,94.66,73.51,77.24,95.46,84.55,94.66,94.97,97.12,63.54,0.0,0.0,0.0,92.01,64.72,68.87,93.34,75.17,92.01,92.58,95.68,47.15,0.0,0.0,0.0
