data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.1, 0.7, 0.9)",1.0,21,0.7391502857208252,0.7490401268005371,0.41558441519737244,0.9439833760261536,0.8875526189804077,0,0,0.9057897925376892,0.7571472525596619,0.90245121717453,0.7419911623001099,0.9057897925376892,0.7572633624076843,dc3cffb2d18e48e4baef2b4c5b001f6a
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"tensor([1., 1., 1.])",0.5,42,0.7656700611114502,0.7596004009246826,0.4517184793949127,0.9430512189865112,0.8840315937995911,0,0,0.9029654860496521,0.7548285126686096,0.9068676829338074,0.765687108039856,0.9029655456542969,0.7629446983337402,32f33cf69bd34612abdeee0c9071fb80
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.5, 0.6, 0.1)",5.0,21,0.7357145547866821,0.7360180020332336,0.3826429843902588,0.9426523447036743,0.882758617401123,0,0,0.9043776392936707,0.7631069421768188,0.8979460000991821,0.7145509123802185,0.9043776392936707,0.7420868277549744,4f410606956a47c2978536ece1b71f49
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(1.2, 0.1, 0.4)",1.0,42,0.7610089182853699,0.7507205009460449,0.4367816150188446,0.9323388338088989,0.8830409646034241,0,0,0.889045774936676,0.7284331917762756,0.9044519066810608,0.7832547426223755,0.889045774936676,0.7498593330383301,2d459496dad44b32b123ad5f322c934f
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,1.0,-,Loss.CE_Loss,-,-,42,0.7444461584091187,0.731253445148468,0.39603960514068604,0.9179661273956299,0.8797546029090881,0,0,0.8638289570808411,0.7151912450790405,0.9088326692581177,0.7906949520111084,0.8638288974761963,0.7507803440093994,0530bb7653634be385e59e7e050059c6
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"tensor([1., 1., 1.])",1.0,21,0.7583544254302979,0.763488233089447,0.44569289684295654,0.9499091506004333,0.8948625922203064,0,0,0.9134557247161865,0.7722235321998596,0.909970223903656,0.7562884092330933,0.9134557247161865,0.776920735836029,9ac7a830fdf2490b9f3aee7927760c64
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(1.2, 0.1, 0.4)",0.5,42,0.7710868120193481,0.7554411888122559,0.4412698447704315,0.9387701153755188,0.8862836956977844,0,0,0.8981238603591919,0.740372896194458,0.9052107334136963,0.773453950881958,0.8981238603591919,0.7637707591056824,6dc842bc76c046c5884fa79adf1a8cc8
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.5, 0.6, 0.1)",5.0,0,0.7402725219726562,0.729678750038147,0.37837839126586914,0.9445360898971558,0.8661219477653503,0,0,0.9065967202186584,0.7871427536010742,0.8963685035705566,0.6967841386795044,0.9065967798233032,0.7658092379570007,0d5660d0c203445fab92c28a1c30a311
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.1, 0.7, 0.9)",0.1,21,0.7350783348083496,0.7455423474311829,0.40310078859329224,0.9473276734352112,0.8861985206604004,0,0,0.9088158011436462,0.7615966796875,0.9031904935836792,0.7327848672866821,0.9088158011436462,0.7667917013168335,453ed1922b8d4b929f62a7b6a64c2c85
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.1, 0.7, 0.9)",2.0,42,0.7202271223068237,0.7246455550193787,0.330143541097641,0.9496476650238037,0.8941454887390137,0,0,0.9140609502792358,0.7793511152267456,0.9015451669692993,0.7048096656799316,0.9140609502792358,0.7465814352035522,38f95a949fb24e7a91331ed44c8d9daa
