data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,test_f1_macro,test_f1_macro_std,val_f1_macro,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",sampling_modifiedRS_oversampling,10.0,-,-,-,-,-,-,63.98,0.25,63.72,91.76,96.27,85.62,93.17,91.99,0.0,94.07,92.19,94.03,91.35,94.07,96.09,87.54,55.52,77.57,34.25,0.0,80.13,66.77,79.39,61.89,80.13,66.26,87.59,54.53,78.82,34.99,0.0,80.15,66.53,79.34,62.29,80.15,66.29
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",augmentation_external_data_preprocessing,10.0,-,10.0,-,-,-,-,64.2,0.82,63.57,91.0,96.38,86.56,92.0,89.05,0.0,94.0,91.52,93.96,90.51,94.0,95.58,86.38,57.07,78.97,31.85,0.0,79.01,64.67,79.39,63.49,79.01,65.34,86.43,56.52,80.19,33.64,0.0,79.08,64.76,79.47,64.27,79.08,65.74
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",sampling_modifiedRS_undersampling,15.0,-,-,-,-,-,-,64.38,1.68,63.74,91.29,96.36,90.01,94.35,84.46,0.0,94.36,91.65,94.37,90.97,94.36,95.13,85.72,56.3,76.59,36.38,0.0,78.17,64.06,79.07,64.43,78.17,64.33,86.03,56.24,76.99,38.26,0.0,78.43,64.36,79.38,65.18,78.43,65.3
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",sampling_modifiedRS_undersampling,5,-,-,-,-,-,-,75.72,0.62,80.11,98.71,99.57,97.85,0.0,0.0,0.0,99.28,98.58,99.28,98.84,99.28,99.75,95.83,64.39,0.0,0.0,0.0,92.54,82.22,92.24,78.55,92.54,82.6,94.85,56.58,0.0,0.0,0.0,90.8,77.15,90.45,74.64,90.8,79.58
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",augmentation_external_data_preprocessing,-,-,5.0,-,-,-,-,75.85,0.45,79.23,99.12,99.71,98.54,0.0,0.0,0.0,99.51,99.18,99.51,99.07,99.51,99.86,95.51,62.94,0.0,0.0,0.0,92.0,80.15,91.79,78.42,92.0,81.03,94.71,56.99,0.0,0.0,0.0,90.58,76.34,90.44,75.43,90.58,78.66
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",baseline,-,-,-,-,-,-,-,76.89,0.7,79.02,98.48,99.66,97.3,0.0,0.0,0.0,99.4,98.64,99.4,98.32,99.4,99.67,95.16,62.87,0.0,0.0,0.0,91.45,78.55,91.81,80.01,91.45,82.31,94.62,59.17,0.0,0.0,0.0,90.5,76.41,90.99,78.01,90.5,79.19
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",th,-,-,-,-,-,-,-,77.11,0.97,79.93,98.44,99.65,97.23,0.0,0.0,0.0,99.38,98.49,99.38,98.39,99.38,99.78,95.26,64.6,0.0,0.0,0.0,91.65,79.47,92.25,81.22,91.65,82.75,94.47,59.76,0.0,0.0,0.0,90.28,76.02,91.12,78.98,90.28,80.63
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",augmentation_abusive_lexicon,-,-,5.0,0.1,3,-,-,77.25,0.22,79.83,99.28,99.76,98.8,0.0,0.0,0.0,99.6,99.35,99.6,99.21,99.6,99.86,95.53,64.13,0.0,0.0,0.0,92.06,80.49,92.11,79.62,92.06,82.75,94.87,59.62,0.0,0.0,0.0,90.91,77.53,91.11,77.51,90.91,80.36
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",sampling_modifiedRS_oversampling,3,-,-,-,-,-,-,77.25,0.82,80.14,99.36,99.68,99.04,0.0,0.0,0.0,99.52,99.36,99.52,99.35,99.52,99.94,95.5,64.78,0.0,0.0,0.0,92.03,79.94,92.15,80.45,92.03,82.39,94.78,59.72,0.0,0.0,0.0,90.77,76.75,91.02,77.91,90.77,80.21
gibert-2018-shs,2,bin,10703,7.95,"{'0_no-hate': 0.888, '1_hate': 0.112}",fl,-,-,-,-,-,-,0.2,77.45,0.34,79.7,99.22,99.82,98.61,0.0,0.0,0.0,99.69,99.26,99.69,99.18,99.69,99.81,95.39,64.02,0.0,0.0,0.0,91.83,79.45,92.03,80.28,91.83,81.46,94.91,59.99,0.0,0.0,0.0,90.97,77.58,91.17,77.78,90.97,80.08
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",th,-,-,-,-,-,-,-,86.18,1.1,86.54,99.04,99.87,98.21,0.0,0.0,0.0,99.75,99.13,99.75,98.95,99.75,99.83,98.06,75.02,0.0,0.0,0.0,96.4,85.85,96.51,87.39,96.4,90.56,98.02,74.34,0.0,0.0,0.0,96.32,85.79,96.43,86.78,96.32,90.57
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_external_data_preprocessing,-,-,10.0,-,-,-,-,87.16,0.45,88.0,99.17,99.85,98.49,0.0,0.0,0.0,99.73,99.34,99.73,99.0,99.73,99.87,98.34,77.67,0.0,0.0,0.0,96.91,88.61,96.87,87.43,96.91,92.17,98.2,76.11,0.0,0.0,0.0,96.66,87.27,96.66,87.09,96.66,91.58
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_undersampling,7.5,-,-,-,-,-,-,87.16,0.29,87.68,99.41,99.86,98.96,0.0,0.0,0.0,99.76,99.34,99.76,99.49,99.76,99.9,98.37,76.99,0.0,0.0,0.0,96.95,90.04,96.85,85.77,96.95,91.55,98.3,76.02,0.0,0.0,0.0,96.83,89.68,96.73,85.19,96.83,91.81
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",baseline,-,-,-,-,-,-,-,87.21,0.55,88.11,99.27,99.9,98.63,0.0,0.0,0.0,99.81,99.33,99.81,99.2,99.81,99.88,98.36,77.87,0.0,0.0,0.0,96.94,88.83,96.91,87.51,96.94,91.99,98.25,76.16,0.0,0.0,0.0,96.75,88.28,96.69,86.28,96.75,91.07
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",augmentation_abusive_lexicon,-,-,10.0,0.3,3,-,-,87.36,0.54,88.0,99.35,99.88,98.82,0.0,0.0,0.0,99.79,99.38,99.79,99.33,99.79,99.92,98.37,77.64,0.0,0.0,0.0,96.96,89.17,96.88,86.94,96.96,91.79,98.27,76.45,0.0,0.0,0.0,96.77,88.2,96.71,86.57,96.77,91.72
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",sampling_modifiedRS_oversampling,7.5,-,-,-,-,-,-,87.65,0.28,88.27,99.5,99.88,99.11,0.0,0.0,0.0,99.79,99.56,99.79,99.43,99.79,99.94,98.44,78.1,0.0,0.0,0.0,97.09,90.45,96.97,86.36,97.09,91.93,98.35,76.95,0.0,0.0,0.0,96.92,89.48,96.81,86.03,96.92,91.41
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",fl,-,-,-,-,-,-,0.5,88.01,0.63,88.21,99.39,99.91,98.86,0.0,0.0,0.0,99.84,99.47,99.84,99.31,99.84,99.92,98.45,77.97,0.0,0.0,0.0,97.11,90.99,96.98,85.85,97.11,91.53,98.44,77.59,0.0,0.0,0.0,97.09,91.02,96.95,85.5,97.09,91.58
